Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SPACE1-1:Zone People Occupant Count [](Hourly),SPACE2-1:Zone People Occupant Count [](Hourly),SPACE3-1:Zone People Occupant Count [](Hourly),SPACE4-1:Zone People Occupant Count [](Hourly),SPACE5-1:Zone People Occupant Count [](Hourly),SPACE1-1:Zone Lights Total Heating Energy [J](Hourly),SPACE2-1:Zone Lights Total Heating Energy [J](Hourly),SPACE3-1:Zone Lights Total Heating Energy [J](Hourly),SPACE4-1:Zone Lights Total Heating Energy [J](Hourly),SPACE5-1:Zone Lights Total Heating Energy [J](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE1-1 BASEBOARD:Baseboard Total Heating Rate [W](Hourly),SPACE3-1 BASEBOARD:Baseboard Total Heating Rate [W](Hourly) 
 01/19  11:00:00,0.7875,74.875,4.975,222.5,1.,11.,5.,11.,5.,20.,5702400.,2462400.,5702400.,2462400.,10670400.,19.6774465545426,22.2322765440633,22.4167041863454,22.5625417884706,22.0601302544218,24.004339782561,0.0,0.0 
 01/19  12:00:00,0.6,74.125,5.825,356.25,1.,8.8,4.,8.8,4.,16.,5417280.,2339280.,5417280.,2339280.,10136880.,20.1641992759048,22.3382849490679,22.4970641497349,22.7039674935503,22.0620741515348,24.0040266162706,0.0,0.0 
 01/19  13:00:00,0.6,73.,6.2,341.25,0.8125,4.4,2.,4.4,2.,8.,4561920.,1969920.,4561920.,1969920.,8536320.,20.401380935851,22.044452294098,22.0511577303114,22.3412095709039,22.0021521933899,23.8227167798331,32.0098127700496,0.0 
 01/19  14:00:00,0.225,70.5,5.575,330.,0.25,8.8,4.,8.8,4.,16.,5132160.,2216160.,5132160.,2216160.,9603360.,20.6508090645669,22.3667385855584,22.2270634889048,22.581117905161,22.0194908996756,23.999350593056,0.0,0.0 
 01/19  15:00:00,-0.375,69.,5.2,323.75,0.75,11.,5.,11.,5.,20.,5702400.,2462400.,5702400.,2462400.,10670400.,20.9193463545119,22.5892586144432,22.2571222884307,22.7345074641224,22.1138415894362,24.0043378843341,0.0,0.0 
 01/19  16:00:00,-0.6,67.75,6.45,332.5,6.250000000000000E-002,11.,5.,11.,5.,20.,5702400.,2462400.,5702400.,2462400.,10670400.,20.9728594103846,22.4248626389046,22.0244043414154,22.4834182283274,22.0057346869711,24.0042543272415,0.0,0.0 
 01/19  17:00:00,-0.9125,70.125,6.2625,346.25,0.0,11.,5.,11.,5.,20.,5702400.,2462400.,5702400.,2462400.,10670400.,20.8145893986802,22.0666141904121,22.0005815669744,22.0584580150913,22.000541987272,24.0038255524116,115.190536310768,82.2947209072133 
 01/19  18:00:00,-1.1,70.125,5.3875,343.75,0.0,11.,5.,11.,5.,20.,5702400.,2462400.,5702400.,2462400.,10670400.,20.5904664053033,22.0176195898611,22.0007895705916,22.0141945182965,22.0007986868752,24.0042310753539,322.089688959683,241.372754666882 
 01/19  19:00:00,-1.1,69.,4.5125,333.75,0.0,5.5,2.5,5.5,2.5,10.,3421440.,1477440.,3421440.,1477440.,6402240.,20.2069568217115,21.22280989059,21.4140433244055,21.2780468355221,21.4295018415658,23.4020736971749,0.0,0.0 
 01/19  20:00:00,-1.1,69.,4.7875,348.75,0.0,1.1,0.5,1.1,0.5,2.,1140480.,492480.,1140480.,492480.,2134080.,19.5584971609366,19.9612972515532,20.108739280076,20.0228444906742,20.1325185952808,21.9774276405744,0.0,0.0 
